ID Action,Axe,Objectif stratégique,Action originale,Chantier suggéré,Confiance,Raison,Action réécrite
A1-OS1-a,Axe 1 : Plateformes numériques et gouvernance,Favoriser l'acceptabilité sociale de l'utilisation des données de santé dans un contexte de recherche,Rédiger un manifeste en faveur de l'accès aux données,Influence & Représentation,CLAIR,Manifeste = document d'influence politique,
A1-OS1-b,Axe 1 : Plateformes numériques et gouvernance,Favoriser l'acceptabilité sociale de l'utilisation des données de santé dans un contexte de recherche,Produire un document annexe mettant de l'avant les bénéfices et les manques à gagner (use case),Guides & Outils,CLAIR,Document annexe avec use cases = guide/outil,
A1-OS1-c,Axe 1 : Plateformes numériques et gouvernance,Favoriser l'acceptabilité sociale de l'utilisation des données de santé dans un contexte de recherche,Former un comité de patients et usagers sur l'acceptabilité sociale qui intègre des représentants des Premières Nations et communautés minoritaires,Concertation & Maillage,CLAIR,Former un comité = créer une structure de concertation,
A1-OS2-a,Axe 1 : Plateformes numériques et gouvernance,"Soutenir les plateformes numériques et favoriser leur alignement sur les plans technique, éthique et de gestion",Lancer une table de concertation entre les plateformes,Concertation & Maillage,CLAIR,Table de concertation = maillage,
A1-OS2-b,Axe 1 : Plateformes numériques et gouvernance,"Soutenir les plateformes numériques et favoriser leur alignement sur les plans technique, éthique et de gestion",Cartographier les actifs informationnels et les expertises,Répertoires & Cartographie,CLAIR,Cartographie = répertoire,
A1-OS2-c,Axe 1 : Plateformes numériques et gouvernance,"Soutenir les plateformes numériques et favoriser leur alignement sur les plans technique, éthique et de gestion","S'arrimer aux initiatives et communautés de pratiques existantes (MSSS, etc.)",Concertation & Maillage,CLAIR,S'arrimer = maillage avec partenaires,
A1-OS3-a,Axe 1 : Plateformes numériques et gouvernance,Représenter les besoins de la communauté des chercheurs en matière de gouvernance de l'information et influencer les décisions gouvernementales,Se joindre aux comités sur le DSN et aux instances de Santé Québec pour pousser les enjeux recherche,Influence & Représentation,CLAIR,Rejoindre comités gouvernementaux = influence,
A1-OS3-b,Axe 1 : Plateformes numériques et gouvernance,Représenter les besoins de la communauté des chercheurs en matière de gouvernance de l'information et influencer les décisions gouvernementales,Table inter-axes de concertation en gouvernance informationnelle,Concertation & Maillage,CLAIR,Table inter-axes = concertation interne,
A1-OS3-c,Axe 1 : Plateformes numériques et gouvernance,Représenter les besoins de la communauté des chercheurs en matière de gouvernance de l'information et influencer les décisions gouvernementales,Partage des cadres de gestion et des modèles d'entente,Guides & Outils,MOYEN,"Partage de cadres = ressources/guides, mais flou sur le format",Produire un guide compilant les cadres de gestion et modèles d'entente
A2-OS1-a,Axe 2 : Modélisation et méthodes numériques,Faciliter le maillage entre les méthodologistes et la formation de la relève,Effectuer une cartographie des différents champs d'expertise,Répertoires & Cartographie,CLAIR,Cartographie des expertises = répertoire,
A2-OS1-b,Axe 2 : Modélisation et méthodes numériques,Faciliter le maillage entre les méthodologistes et la formation de la relève,Lancer une communauté de pratique des méthodologistes (ex. midi-conférences),Concertation & Maillage,MOYEN,"Est-ce que le point important ici est la concertaion des membres  (= maillage) ou bien le fait de lancer des midis conféence ? (=rayonnement), peut-être à séparer en deux actions",
A2-OS2-a,Axe 2 : Modélisation et méthodes numériques,Colliger et harmoniser les bonnes pratiques et les rendre accessibles,Établir un guide/template standard pour encadrer l'harmonisation des bonnes pratiques en méthodologie,Guides & Outils,CLAIR,Guide/template = outil prescriptif,
A2-OS2-b,Axe 2 : Modélisation et méthodes numériques,Colliger et harmoniser les bonnes pratiques et les rendre accessibles,Identifier les bonnes pratiques à formaliser pour la communauté et produire les guides associés,Guides & Outils,CLAIR,Produire des guides = guides,
A2-OS2-c,Axe 2 : Modélisation et méthodes numériques,Colliger et harmoniser les bonnes pratiques et les rendre accessibles,Assurer l'offre de ressources en français,Guides & Outils,MOYEN,Assurer l'offre en français est flou,Traduire et adapter les guides méthodologiques existants en français
A2-OS3-a,Axe 2 : Modélisation et méthodes numériques,Connecter les méthodologistes aux utilisateurs de connaissances,Organiser des journal clubs pour le partage des connaissances scientifiques,Événements & Rayonnement,CLAIR,Journal clubs = événements récurrents,
A2-OS3-b,Axe 2 : Modélisation et méthodes numériques,Connecter les méthodologistes aux utilisateurs de connaissances,Organiser des activités avec des partenaires (ex. IVADO et son axe Santé),Événements & Rayonnement,CLAIR,Organiser des activités = événements,
A3-OS1-a,Axe 3 : Interventions numériques,Établir et diffuser les meilleures pratiques de gestion de projet en matière d'interventions numériques en santé,"Effectuer une cartographie des meilleures pratiques, méthodes et standards en matière de conception, gestion et évaluation des interventions numériques en santé",Répertoires & Cartographie,CLAIR,Cartographie des pratiques = répertoire,
A3-OS1-b,Axe 3 : Interventions numériques,Établir et diffuser les meilleures pratiques de gestion de projet en matière d'interventions numériques en santé,Identifier des problèmes communs rencontrés par les chercheurs et choisir des projets pilotes pour intervenir ensemble,Consultation & Écoute,MOYEN,Identifier des problèmes = consultation,Consulter les chercheurs pour identifier les problèmes communs
A3-OS1-c,Axe 3 : Interventions numériques,Établir et diffuser les meilleures pratiques de gestion de projet en matière d'interventions numériques en santé,Effectuer une cartographie des living labs dans les milieux preneurs du Québec et recenser les apprentissages développés,Répertoires & Cartographie,CLAIR,Cartographie des living labs = répertoire,
A3-OS2-a,Axe 3 : Interventions numériques,Favoriser le rapprochement entre les chercheurs et les milieux preneurs pour optimiser l'accompagnement et le transfert de connaissances,Organiser une table de concertation pour réunir les membres de la communauté de la recherche et des milieux preneurs autour d'objectifs communs,Concertation & Maillage,CLAIR,Table de concertation = maillage,
A3-OS2-b,Axe 3 : Interventions numériques,Favoriser le rapprochement entre les chercheurs et les milieux preneurs pour optimiser l'accompagnement et le transfert de connaissances,Identifier des ambassadeurs dans le RSN pour se connecter aux autres réseaux et connaître leurs besoins,Concertation & Maillage,MOYEN,"Identifier des ambassadeurs = maillage, mais flou",Recruter des ambassadeurs RSN pour créer des ponts avec les autres réseaux
A3-OS3-a,Axe 3 : Interventions numériques,Accélérer la collaboration entre chercheurs et développeurs d'interventions numériques pour favoriser l'adéquation aux besoins des parties prenantes,"Lancer une consultation pour identifier les enjeux et opportunités actuels autour des développements technologiques (DME, DSN, etc.) pour proposer des interventions",Consultation & Écoute,CLAIR,Consultation = écoute des besoins,
A3-OS3-b,Axe 3 : Interventions numériques,Accélérer la collaboration entre chercheurs et développeurs d'interventions numériques pour favoriser l'adéquation aux besoins des parties prenantes,Organiser des événements en partenariat avec l'industrie sur le sujet de la santé numérique,Événements & Rayonnement,CLAIR,Événements avec industrie = rayonnement,
A4-OS1-a,Axe 4 : Transformation numérique,Aviser les organisations à une gestion efficace du numérique et de ses tensions,"Cartographier les initiatives, formations et projets existants dans l'écosystème au Québec et en-dehors",Répertoires & Cartographie,CLAIR,Cartographie = répertoire,
A4-OS1-b,Axe 4 : Transformation numérique,Aviser les organisations à une gestion efficace du numérique et de ses tensions,Former la communauté de recherche à la vulgarisation des connaissances scientifiques,Formation & Relève,CLAIR,Former la communauté = formation,
A4-OS1-c,Axe 4 : Transformation numérique,Aviser les organisations à une gestion efficace du numérique et de ses tensions,Organiser des ateliers de travail et de consultation pour prendre connaissance des priorités et des besoins,Consultation & Écoute,CLAIR,Ateliers de consultation = écoute,
A4-OS2-a,Axe 4 : Transformation numérique,Alimenter la réflexion autour des politiques publiques pour favoriser une transformation numérique basée sur des évidences scientifiques,Mobiliser les experts de l'axe aux compétences diverses et complémentaires,Concertation & Maillage,FAIBLE,'Mobiliser les experts' est très flou - pour faire quoi?,À CLARIFIER: Quel est le livrable attendu?
A4-OS2-b,Axe 4 : Transformation numérique,Alimenter la réflexion autour des politiques publiques pour favoriser une transformation numérique basée sur des évidences scientifiques,Mettre en place une table de concertation sur la gouvernance et le changement organisationnel,Concertation & Maillage,CLAIR,Table de concertation = maillage,
A4-OS2-c,Axe 4 : Transformation numérique,Alimenter la réflexion autour des politiques publiques pour favoriser une transformation numérique basée sur des évidences scientifiques,Éclairer la décision publique en lien avec la mise en oeuvre des interventions numériques (telles que le DSN),Influence & Représentation,CLAIR,Éclairer la décision publique = influence,
A4-OS3-a,Axe 4 : Transformation numérique,"Outiller les chercheurs, gestionnaires et patients pour comprendre les nouveaux cadres en lien avec le numérique en santé",Prendre contact avec des experts en vulgarisation juridique (i.e. Educaloi),Concertation & Maillage,CLAIR,Prendre contact avec experts = maillage,
A4-OS3-b,Axe 4 : Transformation numérique,"Outiller les chercheurs, gestionnaires et patients pour comprendre les nouveaux cadres en lien avec le numérique en santé",Réunir les formations et ressources sur les lois 5 et 25,Répertoires & Cartographie,CLAIR,Réunir les formations et ressources = répertoire,
CA-FORM-OS1-a,Champ d'action : Formation interdisciplinaire,Promouvoir le développement d'une formation interdisciplinaire en santé numérique,"Soutien aux événements de formation (Digital Health, McGill Workshop, Math for Health et autres avec des organisations telles que l'IVADO)",Événements & Rayonnement,MOYEN,'Soutien aux événements' est flou,Contribuer à l'organisation des événements de formation
CA-FORM-OS1-b,Champ d'action : Formation interdisciplinaire,Promouvoir le développement d'une formation interdisciplinaire en santé numérique,Effectuer une analyse du paysage de la formation,Répertoires & Cartographie,CLAIR,Analyse du paysage = cartographie,
CA-FORM-OS1-c,Champ d'action : Formation interdisciplinaire,Promouvoir le développement d'une formation interdisciplinaire en santé numérique,Effectuer une analyse des lacunes,Consultation & Écoute,MOYEN,Analyse des lacunes implique consultation,Identifier les lacunes via analyse et consultation
CA-FORM-OS2-a,Champ d'action : Formation interdisciplinaire,Soutenir la formation de la prochaine génération par l'acquisition de connaissances et la pratique,"Mise en place d'une consultation sur les besoins des étudiants (comité, enquête, événements)",Consultation & Écoute,CLAIR,Consultation sur les besoins = écoute,
CA-FORM-OS2-b,Champ d'action : Formation interdisciplinaire,Soutenir la formation de la prochaine génération par l'acquisition de connaissances et la pratique,Soutien aux manifestations étudiantes sur la santé numérique,Événements & Rayonnement,MOYEN,'Soutien aux manifestations' est flou,Contribuer à l'organisation des événements étudiants
CA-FORM-OS3-a,Champ d'action : Formation interdisciplinaire,Faciliter l'accès des chercheurs aux formations existantes,Inventaire des programmes de formation existants et catégorisation,Répertoires & Cartographie,CLAIR,Inventaire = répertoire,
CA-FORM-OS3-b,Champ d'action : Formation interdisciplinaire,Faciliter l'accès des chercheurs aux formations existantes,"Mettre en place une consultation sur les besoins des chercheurs (comité, enquête, événements)",Consultation & Écoute,CLAIR,Consultation = écoute,
CA-MOB-OS1-a,Champ d'action : Mobilisation des connaissances,Soutenir et faciliter l'échange intersectoriel de connaissances et promouvoir les collaborations,Établir des réunions interdisciplinaires régulières,Concertation & Maillage,CLAIR,Réunions interdisciplinaires = maillage,
CA-MOB-OS1-b,Champ d'action : Mobilisation des connaissances,Soutenir et faciliter l'échange intersectoriel de connaissances et promouvoir les collaborations,Identifier les expertises des différents membres et les présenter sur le site du RSN,Répertoires & Cartographie,CLAIR,Identifier expertises = répertoire,
CA-MOB-OS1-c,Champ d'action : Mobilisation des connaissances,Soutenir et faciliter l'échange intersectoriel de connaissances et promouvoir les collaborations,Identifier les communautés existantes et identifier les gaps,Répertoires & Cartographie,CLAIR,Identifier communautés = cartographie,
CA-MOB-OS1-d,Champ d'action : Mobilisation des connaissances,Soutenir et faciliter l'échange intersectoriel de connaissances et promouvoir les collaborations,Préciser le public et l'objectif précis en matière de mobilisation des connaissances,Consultation & Écoute,MOYEN,Préciser le public = réflexion interne,Définir le public cible via réflexion stratégique
CA-MOB-OS2-a,Champ d'action : Mobilisation des connaissances,Améliorer l'accessibilité et l'utilisation de la recherche en santé numérique,Élaborer des résumés conviviaux des connaissances et articles,Guides & Outils,CLAIR,Résumés conviviaux = guides/outils,
CA-MOB-OS2-b,Champ d'action : Mobilisation des connaissances,Améliorer l'accessibilité et l'utilisation de la recherche en santé numérique,Identifier les besoins des groupes cibles en matière d'accès et utilisation des connaissances,Consultation & Écoute,CLAIR,Identifier les besoins = consultation,
CA-MOB-OS2-c,Champ d'action : Mobilisation des connaissances,Améliorer l'accessibilité et l'utilisation de la recherche en santé numérique,Collaborer activement avec les axes et le comité étudiant,Concertation & Maillage,CLAIR,'Collaborer activement' est très flou,À CLARIFIER: Quelles actions concrètes?
CA-MOB-OS2-d,Champ d'action : Mobilisation des connaissances,Améliorer l'accessibilité et l'utilisation de la recherche en santé numérique,Porter attention au problème de disponibilité et de biais pour les données populations marginalisées,Guides & Outils,FAIBLE,'Porter attention' n'est pas une action,À CLARIFIER: Quel livrable concernant les biais?
CA-MOB-OS3-a,Champ d'action : Mobilisation des connaissances,Renforcer l'engagement citoyen et la littératie numérique en santé par la diffusion accessible des connaissances et des pratiques fondées sur des données probantes,Accéder aux revues de littérature existantes et les compiler au besoin,Répertoires & Cartographie,CLAIR,Compiler revues = répertoire,
CA-MOB-OS3-b,Champ d'action : Mobilisation des connaissances,Renforcer l'engagement citoyen et la littératie numérique en santé par la diffusion accessible des connaissances et des pratiques fondées sur des données probantes,Développer un bulletin d'informations régulier pour le partage des résultats de recherche,Guides & Outils,CLAIR,Bulletin d'informations = outil,
CA-MOB-OS3-c,Champ d'action : Mobilisation des connaissances,Renforcer l'engagement citoyen et la littératie numérique en santé par la diffusion accessible des connaissances et des pratiques fondées sur des données probantes,Identifier les besoins des groupes cibles en matière d'accès et utilisation des connaissances,Consultation & Écoute,CLAIR,Identifier besoins = consultation,
CA-RENF-OS1-a,Champ d'action : Renforcement des capacités,Consolider les compétences de l'ensemble des chercheur(e)s,Développer des communautés de pratique,Concertation & Maillage,CLAIR,Communautés de pratique = maillage,
CA-RENF-OS1-b,Champ d'action : Renforcement des capacités,Consolider les compétences de l'ensemble des chercheur(e)s,"Créer des réseaux d'apprentissages collaboratifs pour partager les défis, expériences et solutions rencontrés dans les projets",Concertation & Maillage,CLAIR,Réseaux collaboratifs = maillage,
CA-RENF-OS2-a,Champ d'action : Renforcement des capacités,Assurer la cohérence des solutions existantes et nouvelles entre les axes et optimiser les solutions communes pour la recherche collaborative de bout en bout (end-to-end),"Assurer la réalisation des cartographies des assets critiques aux axes (des plateformes, des actifs et des capacités existantes) pour mieux identifier les complémentarités, les synergies potentielles et les opportunités d'amélioration",Répertoires & Cartographie,CLAIR,Cartographies des assets = répertoire,
