ID Action,Axe,Objectif stratégique,Action originale,Action originale EN,Chantier suggéré,Confiance,Raison,Action réécrite,Action réécrite EN,Statut analyse,Projet,Nom projet,Description projet,Description projet EN,Notes analyse,Coordination,Destination,Approuvé,Statut objectif
A1-OS1-a,Axe 1 : Plateformes numériques et gouvernance,Favoriser l'acceptabilité sociale de l'utilisation des données de santé dans un contexte de recherche,Rédiger un manifeste en faveur de l'accès aux données,Draft a manifesto in favour of data access,Influence & Représentation,CLAIR,Manifeste = document d'influence politique,,,keep,I1,Plaidoyers et prises de position,"Manifestes, énoncés politiques et documents d'influence pour porter les enjeux du RSN.","Manifestos, policy statements and advocacy documents to advance RSN priorities.",,PD-DUR-OS3-a,,oui,en cours
A1-OS1-b,Axe 1 : Plateformes numériques et gouvernance,Favoriser l'acceptabilité sociale de l'utilisation des données de santé dans un contexte de recherche,Produire un document annexe mettant de l'avant les bénéfices et les manques à gagner (use case),Produce a companion document highlighting the benefits and the costs of inaction (use case),Influence & Représentation,CLAIR,Document annexe avec use cases = guide/outil,,,keep,I1,Plaidoyers et prises de position,"Manifestes, énoncés politiques et documents d'influence pour porter les enjeux du RSN.","Manifestos, policy statements and advocacy documents to advance RSN priorities.",Orphelin sans les autres A1-OS1. À fusionner avec A1-OS1-a (manifeste) et A1-OS1-c (comité patients) qui sont dans d'autres chantiers.,,,oui,non démarré
A1-OS1-c,Axe 1 : Plateformes numériques et gouvernance,Favoriser l'acceptabilité sociale de l'utilisation des données de santé dans un contexte de recherche,Former un comité de patients et usagers sur l'acceptabilité sociale qui intègre des représentants des Premières Nations et communautés minoritaires,Set up a patient and user committee on social acceptability that includes representatives of First Nations and minority communities,Maillage et Concertation,CLAIR,Former un comité = créer une structure de concertation,,,keep,M2,Comités et structures participatives,Création de comités spécifiques au sein du RSN pour la gouvernance participative.,Creation of dedicated committees within the RSN for participatory governance.,,,,oui,non démarré
A1-OS2-a,Axe 1 : Plateformes numériques et gouvernance,"Soutenir les plateformes numériques et favoriser leur alignement sur les plans technique, éthique et de gestion",Lancer une table de concertation entre les plateformes (Symposium des plateformes),Launch a consultation table between platforms (Platforms Symposium),Maillage et Concertation,CLAIR,Table de concertation = maillage,,,keep,M1,Tables de concertation thématiques,Espaces de discussion inter-groupes au sein du RSN autour de thèmes spécifiques.,Cross-group discussion spaces within the RSN around specific themes.,,,,oui,terminé
A1-OS2-b,Axe 1 : Plateformes numériques et gouvernance,"Soutenir les plateformes numériques et favoriser leur alignement sur les plans technique, éthique et de gestion",Cartographier les actifs informationnels et les expertises,Map informational assets and expertise,Répertoires & Cartographie,CLAIR,Cartographie = répertoire,,,,R1,"Répertoire des expertises, actifs et infrastructures RSN","Bottin unifié des personnes, expertises, plateformes, actifs numériques et infrastructures du RSN, avec vue géographique.","Unified directory of people, expertise, platforms, digital assets and RSN infrastructure, with a geographic view.",,,,oui,en cours
A1-OS2-c,Axe 1 : Plateformes numériques et gouvernance,"Soutenir les plateformes numériques et favoriser leur alignement sur les plans technique, éthique et de gestion","S'arrimer aux initiatives et communautés de pratiques existantes (MSSS, etc.)","Align with existing initiatives and communities of practice (MSSS, etc.)",Maillage et Concertation,CLAIR,S'arrimer = maillage avec partenaires,,,keep,M3,Communautés de pratique et réseaux collaboratifs,Maillage entre chercheurs et apprentissage entre pairs via des communautés de pratique.,Networking between researchers and peer learning through communities of practice.,,,,oui,en cours
A1-OS3-a,Axe 1 : Plateformes numériques et gouvernance,Représenter les besoins de la communauté des chercheurs en matière de gouvernance de l'information et influencer les décisions gouvernementales,Se joindre aux comités sur le DSN et aux instances de Santé Québec pour pousser les enjeux recherche,Join DSN committees and Santé Québec bodies to advance research priorities,Influence & Représentation,CLAIR,Rejoindre comités gouvernementaux = influence,,,keep,I2,Représentation dans les instances,Présence active du RSN dans les comités et projets gouvernementaux pour influencer les décisions.,Active RSN presence in government committees and projects to influence decisions.,,,,oui,en cours
A1-OS3-b,Axe 1 : Plateformes numériques et gouvernance,Représenter les besoins de la communauté des chercheurs en matière de gouvernance de l'information et influencer les décisions gouvernementales,Table inter-axes de concertation en gouvernance informationnelle,Cross-axis consultation table on information governance,Maillage et Concertation,CLAIR,Table inter-axes = concertation interne,,,keep,M1,Tables de concertation thématiques,Espaces de discussion inter-groupes au sein du RSN autour de thèmes spécifiques.,Cross-group discussion spaces within the RSN around specific themes.,,,,oui,non démarré
A1-OS3-c,Axe 1 : Plateformes numériques et gouvernance,Représenter les besoins de la communauté des chercheurs en matière de gouvernance de l'information et influencer les décisions gouvernementales,Partage des cadres de gestion et des modèles d'entente,Sharing of management frameworks and agreement templates,Répertoires & Cartographie,CLAIR,Partage = mise à disposition de ressources existantes = répertoire,,,keep,R3,Répertoire des outils et ressources thématiques,"Inventaire des outils, méthodes et ressources existants par thématique transversale (EDIA, engagement citoyen, science ouverte, gouvernance, etc.).","Inventory of existing tools, methods and resources by cross-cutting theme (EDIA, citizen engagement, open science, governance, etc.).","Repositionnée de G5 vers R3 suite à révision : interprétation ""partage"" comme mise à disposition d'un répertoire de cadres existants (thématique gouvernance). Annule la reformulation antérieure ""Produire un guide"".",,,oui,non démarré
A2-OS1-a,Axe 2 : Modélisation et méthodes numériques,Faciliter le maillage entre les méthodologistes et la formation de la relève,Effectuer une cartographie des différents champs d'expertise,Map the various fields of expertise,Répertoires & Cartographie,CLAIR,Cartographie des expertises = répertoire,,,,R1,"Répertoire des expertises, actifs et infrastructures RSN","Bottin unifié des personnes, expertises, plateformes, actifs numériques et infrastructures du RSN, avec vue géographique.","Unified directory of people, expertise, platforms, digital assets and RSN infrastructure, with a geographic view.",,,,oui,en cours
A2-OS1-b,Axe 2 : Modélisation et méthodes numériques,Faciliter le maillage entre les méthodologistes et la formation de la relève,Lancer une communauté de pratique des méthodologistes (ex. midi-conférences),Launch a methodologists' community of practice (e.g. noon-hour conferences),Maillage et Concertation,MOYEN,"Est-ce que le point important ici est la concertaion des membres  (= maillage) ou bien le fait de lancer des midis conféence ? (=rayonnement), peut-être à séparer en deux actions",,,keep,M3,Communautés de pratique et réseaux collaboratifs,Maillage entre chercheurs et apprentissage entre pairs via des communautés de pratique.,Networking between researchers and peer learning through communities of practice.,,,,oui,non démarré
A2-OS2-a,Axe 2 : Modélisation et méthodes numériques,Colliger et harmoniser les bonnes pratiques et les rendre accessibles,Établir un guide/template standard pour encadrer l'harmonisation des bonnes pratiques en méthodologie,Establish a guide/template to frame the harmonization of best methodological practices,Guides & Outils,CLAIR,Guide/template = outil prescriptif,,,keep,G1,Harmonisation des bonnes pratiques méthodologiques,"Produire un cadre commun de bonnes pratiques pour la communauté de recherche, accessible en français.","Produce a common framework of best practices for the research community, accessible in French.","Ces 3 actions (a, b, c) partagent le même objectif stratégique — à fusionner en un seul livrable de projet.",,,oui,non démarré
A2-OS2-b,Axe 2 : Modélisation et méthodes numériques,Colliger et harmoniser les bonnes pratiques et les rendre accessibles,Identifier les bonnes pratiques à formaliser pour la communauté et produire les guides associés,Identify best practices to formalize for the community and produce the associated guides,Guides & Outils,CLAIR,Produire des guides = guides,,,keep,G1,Harmonisation des bonnes pratiques méthodologiques,"Produire un cadre commun de bonnes pratiques pour la communauté de recherche, accessible en français.","Produce a common framework of best practices for the research community, accessible in French.",À fusionner avec A2-OS2-a.,,,oui,non démarré
A2-OS2-c,Axe 2 : Modélisation et méthodes numériques,Colliger et harmoniser les bonnes pratiques et les rendre accessibles,Assurer l'offre de ressources en français,Ensure the availability of resources in French,Guides & Outils,MOYEN,Assurer l'offre en français est flou,Traduire et adapter les guides méthodologiques existants en français,Ensure the availability of resources in French,keep,G1,Harmonisation des bonnes pratiques méthodologiques,"Produire un cadre commun de bonnes pratiques pour la communauté de recherche, accessible en français.","Produce a common framework of best practices for the research community, accessible in French.","À fusionner avec A2-OS2-a — devient une contrainte du livrable, pas une action séparée.",,,oui,non démarré
A2-OS3-a,Axe 2 : Modélisation et méthodes numériques,Connecter les méthodologistes aux utilisateurs de connaissances,Organiser des journal clubs pour le partage des connaissances scientifiques,Organize journal clubs for sharing scientific knowledge,Événements & Rayonnement,CLAIR,Journal clubs = événements récurrents,,,,Év1,Événements organisés par le RSN,"Colloques, journées thématiques, ateliers et événements produits ou co-produits par le réseau.","Colloquia, thematic days, workshops and events produced or co-produced by the network.",,,,oui,non démarré
A2-OS3-b,Axe 2 : Modélisation et méthodes numériques,Connecter les méthodologistes aux utilisateurs de connaissances,Organiser des activités avec des partenaires (ex. IVADO et son axe Santé),Organize activities with partners (e.g. IVADO Health track),Événements & Rayonnement,CLAIR,Organiser des activités = événements,,,,Év2,Participations et interventions externes,"Présence du RSN dans des événements organisés par d'autres : congrès, partenaires, industrie.","RSN presence at events hosted by others: conferences, partners, industry.",,,,oui,terminé
A3-OS1-a,Axe 3 : Interventions numériques,Établir et diffuser les meilleures pratiques de gestion de projet en matière d'interventions numériques en santé,"Réaliser une revue de portée (scoping review) des meilleures pratiques en matière de conception, gestion et évaluation des interventions numériques en santé","Conduct a scoping review of best practices for design, management and evaluation of digital health interventions",Guides & Outils,CLAIR,Cartographie des pratiques = répertoire,,,,G1,Harmonisation des bonnes pratiques méthodologiques,"Produire un cadre commun de bonnes pratiques pour la communauté de recherche, accessible en français.","Produce a common framework of best practices for the research community, accessible in French.","Scoping review — le livrable final est un guide de bonnes pratiques, pas un répertoire.",,,oui,en cours
A3-OS1-b,Axe 3 : Interventions numériques,Établir et diffuser les meilleures pratiques de gestion de projet en matière d'interventions numériques en santé,Développer des études de cas structurées à partir de projets du RSN et externes pour traduire les bonnes pratiques en guidance concrète,Develop structured case studies from RSN and external projects to translate best practices into concrete guidance,Guides & Outils,CLAIR,Études de cas qui complètent la scoping review A3-OS1-a en guidance concrète = guide méthodologique,,,keep,G1,Harmonisation des bonnes pratiques méthodologiques,"Produire un cadre commun de bonnes pratiques pour la communauté de recherche, accessible en français.","Produce a common framework of best practices for the research community, accessible in French.","Repositionnée de R3 vers G1 : les études de cas sont la suite logique de la scoping review A3-OS1-a, ensemble ils forment un guide méthodologique cohérent.",,,oui,en cours
A3-OS1-c,Axe 3 : Interventions numériques,Établir et diffuser les meilleures pratiques de gestion de projet en matière d'interventions numériques en santé,Documenter les expériences des living labs au Québec et en extraire des apprentissages réutilisables sous forme de fiches ou boîtes à outils,Document living lab experiences in Québec and extract reusable learnings as briefs or toolkits,Répertoires & Cartographie,CLAIR,Documentation d'expériences + extraction de fiches/boîtes à outils = ressources thématiques,,,keep,R3,Répertoire des outils et ressources thématiques,"Inventaire des outils, méthodes et ressources existants par thématique transversale (EDIA, engagement citoyen, science ouverte, gouvernance, etc.).","Inventory of existing tools, methods and resources by cross-cutting theme (EDIA, citizen engagement, open science, governance, etc.).",Repositionnée de R1 vers R3 : focus sur la production de fiches/boîtes à outils issues des apprentissages des living labs. La cartographie des living labs comme entités se fera ailleurs.,,,oui,en cours
A3-OS2-a,Axe 3 : Interventions numériques,Favoriser le rapprochement entre les chercheurs et les milieux preneurs pour optimiser l'accompagnement et le transfert de connaissances,Organiser une table de concertation pour réunir les membres de la communauté de la recherche et des milieux preneurs autour d'objectifs communs,Organize a consultation table to bring together members of the research community and end-user settings around shared objectives,Maillage et Concertation,CLAIR,Table de concertation = maillage,,,keep,M1,Tables de concertation thématiques,Espaces de discussion inter-groupes au sein du RSN autour de thèmes spécifiques.,Cross-group discussion spaces within the RSN around specific themes.,,,,oui,non démarré
A3-OS2-b,Axe 3 : Interventions numériques,Favoriser le rapprochement entre les chercheurs et les milieux preneurs pour optimiser l'accompagnement et le transfert de connaissances,Les membres du comité Axe 3 agissent comme ambassadeurs au sein de leurs institutions et réseaux respectifs pour faciliter la communication et identifier les besoins des milieux preneurs,Axis 3 committee members act as ambassadors within their institutions and networks to facilitate communication and identify the needs of end-user settings,Maillage et Concertation,MOYEN,"Identifier des ambassadeurs = maillage, mais flou",,,keep,M4,Partenariats externes et maillage inter-sectoriel,"Liens avec des organisations, experts et milieux preneurs hors RSN.","Links with organizations, experts and end-user settings outside the RSN.",,,,oui,non démarré
